flight_id,flight_no,departure_delay_minutes
1,PG0405,9
2,PG0404,1
3,PG0405,4
14,PG0402,3
15,PG0402,6
16,PG0403,2
18,PG0405,4
19,PG0403,2
20,PG0403,3
21,PG0405,1
22,PG0404,1
23,PG0403,4
24,PG0402,4
25,PG0404,6
26,PG0405,186
27,PG0404,2
29,PG0403,3
30,PG0402,3
34,PG0402,4
35,PG0403,4
36,PG0404,4
37,PG0405,3
38,PG0405,1
46,PG0405,3
48,PG0403,5
49,PG0402,3
50,PG0402,1
52,PG0404,180
54,PG0405,5
55,PG0404,3
56,PG0403,203
57,PG0402,4
59,PG0402,3
60,PG0402,2
61,PG0403,230
62,PG0404,3
67,PG0404,1
72,PG0402,2
73,PG0403,5
74,PG0404,193
75,PG0405,4
82,PG0402,5
83,PG0402,209
84,PG0403,3
85,PG0404,5
86,PG0405,2
87,PG0405,5
88,PG0404,1
89,PG0403,5
91,PG0405,2
93,PG0403,1
96,PG0402,5
106,PG0402,2
107,PG0403,2
108,PG0404,5
109,PG0405,1
110,PG0403,3
113,PG0404,2
114,PG0405,4
123,PG0402,2
125,PG0404,2
126,PG0405,2
129,PG0405,6
131,PG0403,3
132,PG0402,4
139,PG0402,5
140,PG0403,2
141,PG0404,5
152,PG0405,3
153,PG0404,2
154,PG0403,4
155,PG0402,3
157,PG0402,7
158,PG0403,1
160,PG0405,5
167,PG0402,1
173,PG0402,3
174,PG0403,7
175,PG0404,3
176,PG0405,4
180,PG0403,2
181,PG0404,2
182,PG0405,4
183,PG0405,2
184,PG0404,1
185,PG0403,5
186,PG0402,3
191,PG0402,197
192,PG0403,2
193,PG0404,174
194,PG0405,3
205,PG0402,4
206,PG0403,3
207,PG0404,5
208,PG0405,2
209,PG0405,8
210,PG0405,4
211,PG0404,2
212,PG0403,3
213,PG0402,4
214,PG0404,5
219,PG0403,4
220,PG0402,3
221,PG0402,4
222,PG0403,4
223,PG0404,1
224,PG0405,2
239,PG0405,3
240,PG0404,5
242,PG0402,1
243,PG0402,1
244,PG0403,8
245,PG0222,1
247,PG0222,4
249,PG0222,1
250,PG0222,4
251,PG0222,3
255,PG0222,6
258,PG0222,4
259,PG0222,3
265,PG0222,215
268,PG0222,1
271,PG0222,184
272,PG0222,5
273,PG0222,5
275,PG0222,2
276,PG0222,7
277,PG0222,1
278,PG0222,2
281,PG0222,3
282,PG0222,2
286,PG0222,3
288,PG0222,5
289,PG0222,3
295,PG0222,5
297,PG0222,4
298,PG0222,3
301,PG0222,3
302,PG0222,2
305,PG0222,5
306,PG0202,3
307,PG0202,1
308,PG0202,3
312,PG0202,6
313,PG0202,3
315,PG0202,2
317,PG0202,2
320,PG0202,3
321,PG0202,1
324,PG0202,225
326,PG0202,2
328,PG0202,3
331,PG0202,177
332,PG0202,3
333,PG0202,197
335,PG0202,1
339,PG0202,3
340,PG0202,4
342,PG0202,3
344,PG0202,2
346,PG0202,171
351,PG0202,5
352,PG0202,3
355,PG0202,3
356,PG0202,4
357,PG0202,3
358,PG0202,3
362,PG0202,1
364,PG0202,4
