flight_id,flight_no,total_revenue
28935,PG0242,223900.00
28939,PG0242,206200.00
28913,PG0242,186300.00
28912,PG0242,205600.00
28929,PG0242,149900.00
28904,PG0242,285400.00
28895,PG0242,322400.00
28948,PG0242,434500.00
28942,PG0242,405400.00
28915,PG0242,460900.00
28946,PG0242,572500.00
28923,PG0242,714900.00
28932,PG0242,658500.00
28949,PG0242,584300.00
28919,PG0242,645600.00
28940,PG0242,628200.00
28926,PG0242,752000.00
28943,PG0242,553400.00
28934,PG0242,597100.00
28900,PG0242,634400.00
28933,PG0242,752000.00
28902,PG0242,534100.00
28928,PG0242,659000.00
28898,PG0242,639300.00
28921,PG0242,752000.00
28941,PG0242,708600.00
28893,PG0242,652300.00
28907,PG0242,578600.00
28938,PG0242,640100.00
28917,PG0242,446300.00
28909,PG0242,745800.00
28910,PG0242,591100.00
28916,PG0242,683200.00
28897,PG0242,608300.00
28944,PG0242,701800.00
28918,PG0242,529200.00
28927,PG0242,690100.00
28922,PG0242,640700.00
28914,PG0242,522500.00
28901,PG0242,690100.00
28931,PG0242,652400.00
28894,PG0242,553500.00
28908,PG0242,620100.00
28945,PG0242,708000.00
28896,PG0242,608300.00
8076,PG0409,196300.00
29001,PG0489,402800.00
7945,PG0409,180500.00
28956,PG0489,471100.00
7989,PG0409,162400.00
28993,PG0489,479900.00
8123,PG0409,161200.00
28995,PG0489,393200.00
8068,PG0409,234500.00
28968,PG0489,480100.00
7938,PG0409,174600.00
28973,PG0489,404100.00
8019,PG0409,155200.00
28984,PG0489,427900.00
8021,PG0409,275600.00
28982,PG0489,589100.00
8056,PG0409,341700.00
29007,PG0489,754300.00
7958,PG0409,302400.00
29010,PG0489,764200.00
8040,PG0409,484300.00
28979,PG0489,951500.00
7929,PG0409,544100.00
29006,PG0489,1136500.00
8033,PG0409,322200.00
28964,PG0489,732700.00
8114,PG0409,481900.00
28976,PG0489,1006900.00
7936,PG0409,484500.00
28990,PG0489,1016000.00
8129,PG0409,421900.00
28962,PG0489,908900.00
8081,PG0409,551200.00
28985,PG0489,1050500.00
7984,PG0409,443700.00
29005,PG0489,809100.00
8007,PG0409,383600.00
29012,PG0489,884100.00
8098,PG0409,442500.00
28975,PG0489,985300.00
8140,PG0409,496700.00
28999,PG0489,1039400.00
8099,PG0409,456700.00
28965,PG0489,984300.00
7993,PG0409,516500.00
28992,PG0489,983300.00
7925,PG0409,578900.00
28958,PG0489,1192100.00
7943,PG0409,739400.00
28961,PG0489,1093000.00
7997,PG0409,296800.00
28953,PG0489,690200.00
8090,PG0409,450700.00
29000,PG0489,1017900.00
7952,PG0409,591400.00
28980,PG0489,1158300.00
8130,PG0409,410700.00
28959,PG0489,1028700.00
8143,PG0409,531200.00
28957,PG0489,1005000.00
8136,PG0409,529800.00
28974,PG0489,985200.00
8038,PG0409,384800.00
28983,PG0489,849500.00
7992,PG0409,516600.00
28970,PG0489,974200.00
8103,PG0409,496600.00
28997,PG0489,1158300.00
8001,PG0409,518100.00
28967,PG0489,1081200.00
8110,PG0409,484300.00
28971,PG0489,950500.00
7972,PG0409,531400.00
28969,PG0489,995000.00
8039,PG0409,402500.00
28981,PG0489,941700.00
7971,PG0409,322100.00
29008,PG0489,765300.00
8032,PG0409,517200.00
29003,PG0489,874300.00
8075,PG0409,469700.00
28954,PG0489,830900.00
8027,PG0409,457600.00
28987,PG0489,1006800.00
7950,PG0409,478500.00
28996,PG0489,982100.00
8125,PG0409,431200.00
29004,PG0489,839500.00
13884,PG0548,1268100.00
13885,PG0548,1637500.00
13836,PG0548,1365100.00
13874,PG0548,1897100.00
13877,PG0548,1767600.00
13851,PG0548,1897200.00
13863,PG0548,2273400.00
13882,PG0548,2663000.00
13867,PG0548,1901000.00
13854,PG0548,3105600.00
13853,PG0548,3571900.00
13857,PG0548,3937900.00
13831,PG0548,4773200.00
13847,PG0548,4340500.00
13875,PG0548,4769900.00
13855,PG0548,4340700.00
13845,PG0548,4540300.00
13883,PG0548,4503700.00
13879,PG0548,4473800.00
13862,PG0548,4769800.00
13835,PG0548,3704600.00
13859,PG0548,4573500.00
13840,PG0548,4839800.00
13878,PG0548,4373800.00
13869,PG0548,4573500.00
13876,PG0548,3934700.00
13843,PG0548,4373700.00
13871,PG0548,3734700.00
13832,PG0548,3904500.00
13856,PG0548,4606800.00
13842,PG0548,4803100.00
13841,PG0548,4107500.00
13829,PG0548,4333900.00
13860,PG0548,4473700.00
13826,PG0548,4403800.00
13839,PG0548,4370500.00
13886,PG0548,4703200.00
13865,PG0548,4736700.00
13844,PG0548,4104200.00
13837,PG0548,4739900.00
13870,PG0548,4706500.00
13866,PG0548,4174200.00
13827,PG0548,5072800.00
13834,PG0548,4437100.00
13880,PG0548,4706600.00
13850,PG0548,3075800.00
13846,PG0548,3305600.00
13881,PG0548,3674800.00
