flight_id,avg_boarding_no,total_boarding_passes
1,40.0000,79
2,51.0000,101
3,49.0000,97
17,51.0000,101
18,48.5000,96
21,43.0000,85
22,1.0000,1
25,58.0000,115
26,45.5000,90
27,46.5000,92
36,49.5000,98
37,50.5000,100
38,42.0000,83
46,49.0000,97
47,53.0000,105
52,49.5000,98
53,45.5000,90
54,42.0000,83
55,2.0000,3
62,1.5000,2
67,45.0000,89
74,63.5000,126
75,49.0000,97
85,52.0000,103
86,46.0000,91
87,43.0000,85
88,1.5000,2
91,52.5000,104
92,54.0000,107
108,50.0000,99
109,45.0000,89
113,52.0000,103
114,52.5000,104
125,57.5000,114
126,48.0000,95
129,44.5000,88
130,27.5000,54
141,57.0000,113
142,49.0000,97
152,42.5000,84
153,18.0000,35
159,50.5000,100
160,49.0000,97
175,55.0000,109
176,43.5000,86
181,42.0000,83
182,45.0000,89
183,46.5000,92
184,8.5000,16
193,52.0000,103
194,49.0000,97
207,53.5000,106
208,51.5000,102
209,45.0000,89
210,41.5000,82
211,3.0000,5
214,32.0000,63
223,50.5000,100
224,48.0000,95
229,45.5000,90
239,43.0000,85
240,2.5000,4
245,111.5000,222
247,154.5000,308
249,183.0000,365
250,181.0000,361
251,111.5000,222
255,115.0000,229
258,137.0000,273
259,173.5000,346
265,162.0000,323
266,124.5000,248
268,178.0000,355
271,163.5000,326
272,161.0000,321
273,168.0000,335
275,165.0000,329
276,178.0000,355
277,107.0000,213
278,114.5000,228
279,133.0000,265
281,169.5000,338
282,178.0000,355
286,171.0000,341
288,112.0000,223
289,165.0000,329
292,172.5000,344
295,146.5000,292
297,167.0000,333
298,172.5000,344
301,179.0000,357
302,153.0000,305
305,183.0000,365
306,73.5000,146
307,67.0000,133
308,75.0000,149
312,76.0000,151
313,80.5000,160
315,59.0000,117
317,73.5000,146
320,50.5000,100
321,74.0000,147
324,66.5000,132
326,38.0000,75
328,69.0000,137
331,30.5000,60
332,77.0000,153
333,35.5000,70
335,72.0000,143
339,72.5000,144
340,39.0000,77
342,73.5000,146
344,30.0000,59
346,76.0000,151
351,81.0000,161
352,37.0000,73
355,78.0000,155
356,76.5000,152
357,72.5000,144
358,37.5000,74
362,67.0000,133
363,31.5000,62
364,67.0000,133
365,83.5000,166
370,22.0000,43
371,45.5000,90
372,44.0000,87
374,39.0000,77
375,41.0000,81
376,28.5000,56
377,43.0000,85
381,37.5000,74
382,27.5000,54
383,43.0000,85
385,49.0000,97
387,28.5000,56
388,38.5000,76
391,35.5000,70
392,28.0000,55
396,49.0000,97
397,37.5000,74
399,27.0000,53
403,43.0000,85
404,28.0000,55
405,43.0000,85
409,39.0000,77
411,32.5000,64
412,47.0000,93
414,40.5000,80
416,32.5000,64
418,38.5000,76
422,48.5000,96
423,35.0000,69
425,35.0000,69
427,38.0000,75
429,70.5000,140
430,71.0000,141
433,66.0000,131
434,69.5000,138
435,69.5000,138
436,66.5000,132
438,57.0000,113
440,46.5000,92
441,74.0000,147
442,72.0000,143
443,49.0000,97
447,62.5000,124
451,53.0000,105
453,72.5000,144
455,61.5000,122
458,74.5000,148
461,59.0000,117
462,75.5000,150
465,45.5000,90
469,68.5000,136
470,76.5000,152
471,57.5000,114
473,74.5000,148
474,85.5000,170
475,49.0000,97
476,74.0000,147
478,39.5000,78
479,78.5000,156
480,72.5000,144
482,67.0000,133
487,45.0000,89
491,27.0000,53
505,24.5000,48
507,33.0000,65
508,37.5000,74
512,29.5000,58
513,32.5000,64
516,25.0000,49
518,33.0000,65
519,35.0000,69
525,26.5000,52
526,31.5000,62
531,27.5000,54
533,26.5000,52
534,35.5000,70
536,28.0000,55
544,28.5000,56
545,27.5000,54
551,27.5000,54
555,37.5000,74
560,26.0000,51
566,24.5000,48
567,24.5000,48
570,30.0000,59
582,24.0000,47
585,27.5000,54
588,29.5000,58
590,19.0000,37
592,29.0000,57
595,27.0000,53
596,28.0000,55
599,24.5000,48
615,13.0000,25
616,8.0000,15
619,13.5000,26
620,9.0000,17
622,12.0000,23
623,12.0000,23
625,13.0000,25
628,13.0000,25
630,11.0000,21
634,14.0000,27
635,13.5000,26
640,12.5000,24
642,8.5000,16
644,10.5000,20
645,10.5000,20
646,11.0000,21
647,12.5000,24
648,8.0000,15
650,12.5000,24
651,10.0000,19
658,8.5000,16
659,11.5000,22
661,12.0000,23
662,12.0000,23
663,9.0000,17
665,8.0000,15
666,8.0000,15
667,12.0000,23
668,12.0000,23
669,8.5000,16
670,15.0000,29
672,6.5000,12
674,2.5000,4
680,1.5000,2
