flight_id,flight_no,aircraft_code,total_seats,occupied_seats,occupancy_rate_percentage
1,PG0405,321,170,79,46.47
2,PG0404,321,170,101,59.41
3,PG0405,321,170,97,57.06
4,PG0402,321,170,NULL,NULL
5,PG0405,321,170,93,54.71
6,PG0404,321,170,101,59.41
7,PG0403,321,170,NULL,NULL
8,PG0402,321,170,NULL,NULL
9,PG0405,321,170,131,77.06
10,PG0402,321,170,NULL,NULL
11,PG0403,321,170,NULL,NULL
12,PG0404,321,170,90,52.94
13,PG0405,321,170,112,65.88
14,PG0402,321,170,NULL,NULL
15,PG0402,321,170,NULL,NULL
16,PG0403,321,170,NULL,NULL
17,PG0404,321,170,101,59.41
18,PG0405,321,170,96,56.47
19,PG0403,321,170,NULL,NULL
20,PG0403,321,170,NULL,NULL
21,PG0405,321,170,85,50.00
22,PG0404,321,170,1,0.59
23,PG0403,321,170,NULL,NULL
24,PG0402,321,170,NULL,NULL
25,PG0404,321,170,115,67.65
26,PG0405,321,170,90,52.94
27,PG0404,321,170,92,54.12
28,PG0405,321,170,81,47.65
29,PG0403,321,170,NULL,NULL
30,PG0402,321,170,NULL,NULL
31,PG0404,321,170,110,64.71
32,PG0403,321,170,NULL,NULL
33,PG0402,321,170,NULL,NULL
34,PG0402,321,170,NULL,NULL
35,PG0403,321,170,NULL,NULL
36,PG0404,321,170,98,57.65
37,PG0405,321,170,100,58.82
38,PG0405,321,170,83,48.82
39,PG0405,321,170,6,3.53
40,PG0402,321,170,NULL,NULL
41,PG0403,321,170,NULL,NULL
42,PG0404,321,170,14,8.24
43,PG0405,321,170,4,2.35
44,PG0404,321,170,103,60.59
45,PG0403,321,170,NULL,NULL
46,PG0405,321,170,97,57.06
47,PG0404,321,170,105,61.76
48,PG0403,321,170,NULL,NULL
49,PG0402,321,170,NULL,NULL
50,PG0402,321,170,NULL,NULL
51,PG0403,321,170,NULL,NULL
52,PG0404,321,170,98,57.65
53,PG0405,321,170,90,52.94
54,PG0405,321,170,83,48.82
55,PG0404,321,170,3,1.76
56,PG0403,321,170,NULL,NULL
57,PG0402,321,170,NULL,NULL
58,PG0402,321,170,NULL,NULL
59,PG0402,321,170,NULL,NULL
60,PG0402,321,170,NULL,NULL
61,PG0403,321,170,NULL,NULL
62,PG0404,321,170,2,1.18
63,PG0402,321,170,NULL,NULL
64,PG0403,321,170,NULL,NULL
65,PG0405,321,170,108,63.53
66,PG0404,321,170,104,61.18
67,PG0404,321,170,89,52.35
68,PG0403,321,170,NULL,NULL
69,PG0402,321,170,NULL,NULL
70,PG0404,321,170,118,69.41
71,PG0405,321,170,100,58.82
72,PG0402,321,170,NULL,NULL
73,PG0403,321,170,NULL,NULL
74,PG0404,321,170,126,74.12
75,PG0405,321,170,97,57.06
76,PG0405,321,170,12,7.06
77,PG0402,321,170,NULL,NULL
78,PG0402,321,170,NULL,NULL
79,PG0403,321,170,NULL,NULL
80,PG0404,321,170,17,10.00
81,PG0405,321,170,1,0.59
82,PG0402,321,170,NULL,NULL
83,PG0402,321,170,NULL,NULL
84,PG0403,321,170,NULL,NULL
85,PG0404,321,170,103,60.59
86,PG0405,321,170,91,53.53
87,PG0405,321,170,85,50.00
88,PG0404,321,170,2,1.18
89,PG0403,321,170,NULL,NULL
90,PG0402,321,170,NULL,NULL
91,PG0405,321,170,104,61.18
92,PG0404,321,170,107,62.94
93,PG0403,321,170,NULL,NULL
94,PG0402,321,170,NULL,NULL
95,PG0403,321,170,NULL,NULL
96,PG0402,321,170,NULL,NULL
97,PG0404,321,170,99,58.24
98,PG0405,321,170,114,67.06
99,PG0403,321,170,NULL,NULL
100,PG0402,321,170,NULL,NULL
