departure_airport,departure_flights
DME,3217
SVO,2981
LED,1900
VKO,1719
OVB,1055
KJA,707
SVX,689
PEE,619
ROV,617
BZK,610
AER,584
OVS,549
SGC,531
HMA,515
NUX,506
KZN,471
TJM,427
CEK,409
KHV,400
ULV,392
UFA,384
MJZ,383
EGO,366
IKT,366
KVX,366
NOZ,365
PES,358
GOJ,357
ARH,323
VOG,314
CSY,305
REN,305
ESL,297
VKT,280
UUS,262
JOK,261
TOF,254
SCW,253
MQF,244
PEZ,244
RTW,244
TBW,244
KRR,236
ABA,235
NBC,227
KRO,211
MRV,209
MCX,200
OMS,200
KGP,192
NJC,192
ULY,192
NOJ,184
KUF,183
NAL,183
UCT,183
UUA,183
VVO,183
UIK,175
YKS,166
CNN,158
KGD,157
NNM,157
BAX,156
ASF,148
NYM,140
NSK,139
URS,139
AAQ,131
CEE,131
STW,123
KLF,122
MMK,122
OGZ,122
SKX,122
SLY,122
URJ,122
VOZ,122
GDZ,113
HTA,96
PKV,96
RGK,88
KEJ,87
IAR,79
OSW,71
UUD,71
GRV,70
BQS,61
BTK,61
IJK,61
SWT,61
UKX,61
EYK,53
NFG,44
KYZ,43
LPK,43
DYR,36
GDX,36
IWA,34
NYA,27
PYJ,27
PKC,26
KXK,18
USK,18
