booking_date,total_bookings,total_revenue
"2017-06-21 14:05:00",1,52000.00
"2017-06-21 15:48:00",1,211100.00
"2017-06-21 16:17:00",1,178800.00
"2017-06-22 01:29:00",1,57500.00
"2017-06-22 01:52:00",1,123000.00
"2017-06-22 04:39:00",1,41600.00
"2017-06-22 05:46:00",1,70100.00
"2017-06-22 07:22:00",1,46300.00
"2017-06-22 10:03:00",1,224300.00
"2017-06-22 22:25:00",1,212500.00
"2017-06-23 01:05:00",1,28000.00
"2017-06-23 02:31:00",1,44000.00
"2017-06-23 02:35:00",1,111800.00
"2017-06-23 03:49:00",1,32700.00
"2017-06-23 05:17:00",1,64700.00
"2017-06-23 08:31:00",1,12600.00
"2017-06-23 08:33:00",1,68800.00
"2017-06-23 09:01:00",1,49800.00
"2017-06-23 09:07:00",1,124200.00
"2017-06-23 10:21:00",1,383300.00
"2017-06-23 12:59:00",1,95600.00
"2017-06-23 13:28:00",1,283100.00
"2017-06-23 14:53:00",1,27200.00
"2017-06-23 15:15:00",1,126300.00
"2017-06-23 18:41:00",1,55800.00
"2017-06-23 18:58:00",1,97900.00
"2017-06-23 22:21:00",1,16400.00
"2017-06-23 22:23:00",1,143000.00
"2017-06-23 23:05:00",1,10800.00
"2017-06-23 23:20:00",1,46000.00
"2017-06-24 01:21:00",1,100600.00
"2017-06-24 01:43:00",1,99600.00
"2017-06-24 01:52:00",1,96800.00
"2017-06-24 01:58:00",1,130400.00
"2017-06-24 02:00:00",1,50600.00
"2017-06-24 02:01:00",2,51800.00
"2017-06-24 02:21:00",1,75100.00
"2017-06-24 02:29:00",1,61800.00
"2017-06-24 02:51:00",1,56000.00
"2017-06-24 02:57:00",1,70800.00
"2017-06-24 03:05:00",1,26600.00
"2017-06-24 03:14:00",1,131600.00
"2017-06-24 04:33:00",1,31400.00
"2017-06-24 04:45:00",1,117200.00
"2017-06-24 05:04:00",1,56000.00
"2017-06-24 05:23:00",1,28800.00
"2017-06-24 05:56:00",1,44500.00
"2017-06-24 07:11:00",1,24200.00
"2017-06-24 07:16:00",1,67900.00
"2017-06-24 07:19:00",1,481800.00
"2017-06-24 07:44:00",1,131100.00
"2017-06-24 07:47:00",1,228800.00
"2017-06-24 07:59:00",1,59100.00
"2017-06-24 08:02:00",1,35200.00
"2017-06-24 08:31:00",1,49300.00
"2017-06-24 08:37:00",1,55800.00
"2017-06-24 09:02:00",1,67900.00
"2017-06-24 09:25:00",1,15000.00
"2017-06-24 09:28:00",1,46400.00
"2017-06-24 09:33:00",1,195600.00
