flight_id,passengers_boarded
9819,374
260,370
249,365
305,365
250,361
30579,359
267,358
301,357
290,356
268,355
276,355
282,355
283,353
5330,353
5362,353
5324,350
5307,349
5320,349
30622,349
10908,348
5306,347
5329,347
259,346
5325,346
5355,346
5360,346
7738,346
9878,346
10922,346
7737,345
9821,345
270,344
292,344
298,344
5328,344
5353,344
5356,344
9835,344
5312,343
9831,343
10888,343
10914,343
30582,343
5344,342
7728,342
9851,342
10916,342
286,341
7759,341
9839,341
30620,341
5311,340
5333,340
9833,340
9849,340
10905,340
269,339
5336,339
5339,339
9872,339
10907,339
281,338
5303,338
5341,338
5342,338
5322,337
7770,337
10878,337
9847,336
10876,336
273,335
284,335
30626,335
5317,334
7755,334
7776,334
9864,334
297,333
10884,333
10898,333
304,332
5348,332
5351,332
256,331
5347,331
7722,331
9869,331
10915,331
5332,330
10882,330
10906,330
10923,330
275,329
289,329
7736,329
9871,329
5346,328
7765,328
9818,328
9853,328
10873,328
10932,328
274,327
9840,327
30611,327
271,326
9837,326
9877,326
10894,326
294,325
7721,325
9820,325
30577,325
30593,325
9842,324
10924,324
10929,324
261,323
265,323
7725,323
7734,323
7735,323
7739,323
7749,323
9832,323
10913,323
10927,323
5308,322
7741,322
7766,322
9863,322
10896,322
272,321
7748,321
7773,321
9860,321
30597,321
30588,320
30632,320
5262,320
7718,320
7772,320
9855,319
10874,319
10925,319
30592,319
30618,319
5314,318
7742,318
7753,318
7769,318
9822,318
9838,318
10903,318
30591,317
30596,317
30604,317
30575,316
30617,316
7754,316
7764,316
5321,315
5327,315
7747,315
7757,315
7777,315
9854,315
30581,314
30628,314
30600,313
7762,313
10875,313
300,312
10912,312
30631,312
9824,311
10904,311
10931,311
9844,310
30586,310
30605,310
10902,309
247,308
5310,308
5331,308
10899,307
10918,307
9836,306
9862,306
9924,306
302,305
7720,305
7761,305
30624,305
30633,304
9825,304
7771,303
293,302
10933,302
9859,301
30634,301
5319,300
10886,300
5280,298
9874,298
30583,298
9899,297
9907,296
9926,296
10885,296
14573,296
9898,295
5284,294
9895,294
9905,294
14559,294
14567,294
295,292
5259,292
30607,292
14536,291
14590,291
14562,290
30590,290
3486,290
5291,290
7744,290
10879,290
3496,289
3502,288
14558,288
30576,287
3474,286
3476,286
5268,286
14538,286
14545,286
14566,285
14570,285
5272,285
5276,285
5282,285
9857,285
5250,284
9826,284
14555,284
30614,283
5293,283
9919,283
3520,282
5299,282
9892,282
3487,281
9901,281
14589,281
3469,280
5270,280
5301,280
7775,280
3488,279
5279,279
5283,279
5285,279
9889,279
5275,278
9908,278
9937,278
14552,278
14556,278
30615,278
3506,277
3517,277
3522,277
5273,277
5288,277
9888,277
9894,277
5244,276
9909,276
9911,276
9916,276
9932,276
30610,276
3510,275
5248,275
9828,275
14574,275
14591,274
3521,274
258,273
3464,273
3477,273
3504,273
5267,273
5296,273
30584,273
14577,273
14541,272
14578,272
14593,272
3467,272
3479,272
3516,272
5281,272
7730,272
9882,272
9896,272
5316,271
14547,271
14549,270
14554,270
5255,270
3481,269
3508,269
3462,268
3514,268
9920,268
9927,268
14587,268
30619,268
3500,267
9925,267
14535,267
3492,266
3505,266
5242,266
7732,266
279,265
3463,265
3468,265
9890,265
285,264
3471,264
3499,264
9917,264
9939,264
30621,264
14550,264
14583,263
3497,263
5290,263
9903,263
287,262
9933,262
3466,261
5252,260
5300,260
14533,259
14569,259
3498,258
5266,258
10917,258
7726,257
14537,257
3480,256
3485,256
5359,256
30598,255
14581,254
3495,254
3475,253
3490,253
3518,252
5298,252
9915,252
3511,251
9885,251
14571,251
14560,250
14584,250
5343,250
3491,249
5249,249
9938,249
14542,249
14568,248
30635,248
266,248
9931,248
5318,247
7717,247
7719,246
7727,246
3512,245
7763,245
3473,244
5337,244
9875,244
14561,244
30629,243
7768,241
14575,241
9922,240
7723,239
5295,237
30613,236
9870,232
10881,232
5256,231
5271,231
5294,231
14546,231
14539,229
255,229
3472,229
5309,229
9928,229
278,228
9865,228
9934,228
9893,226
5340,225
5345,224
288,223
245,222
251,222
3503,221
5352,220
9913,220
9867,219
2354,218
5265,218
26212,218
2364,217
2329,216
2330,216
5297,216
10877,216
2341,215
2369,214
277,213
2359,213
2366,213
26162,213
2344,212
2322,211
2325,211
2332,211
26168,211
26180,210
2347,210
9902,210
2338,209
2340,209
2351,209
7751,209
26176,209
26157,208
26173,208
26193,208
26201,208
2348,208
2355,208
2375,208
2321,207
9850,207
10897,207
26172,207
26216,207
5247,206
14548,206
26167,205
2349,205
9904,205
26204,204
26158,203
26160,203
26184,203
26198,203
30571,203
2169,203
2336,203
2373,203
5277,203
2150,202
2326,202
2356,202
2358,202
24094,202
26199,202
30536,202
26210,201
2343,201
2337,200
2357,200
26181,200
26189,200
30606,200
26194,198
26200,198
26202,198
26177,197
26187,197
26208,197
2134,197
2363,197
2346,196
5305,196
26165,196
26178,196
303,195
5260,195
5274,195
24122,195
30556,194
2319,194
2168,193
10930,193
14544,193
14592,193
24095,193
2119,192
5323,192
10919,192
26209,192
3470,191
5289,191
5315,191
5304,190
14585,190
