flight_id,avg_boarding_no
9819,187.50
249,183.00
305,183.00
250,181.00
301,179.00
268,178.00
276,178.00
282,178.00
5307,175.00
259,173.50
5355,173.50
5360,173.50
7738,173.50
9878,173.50
10922,173.50
7737,173.00
9821,173.00
292,172.50
298,172.50
5328,172.50
5353,172.50
5356,172.50
9835,172.50
5312,172.00
9831,172.00
10914,172.00
30582,172.00
5344,171.50
10916,171.50
286,171.00
30620,171.00
5333,170.50
9849,170.50
10905,170.50
5336,170.00
9872,170.00
281,169.50
5303,169.50
5341,169.50
7770,169.00
9847,168.50
273,168.00
30626,168.00
5317,167.50
7755,167.50
7776,167.50
9864,167.50
297,167.00
10884,167.00
5348,166.50
5351,166.50
9869,166.00
10915,166.00
5332,165.50
10882,165.50
10906,165.50
275,165.00
289,165.00
7736,165.00
9818,164.50
9853,164.50
10873,164.50
10932,164.50
30611,164.00
271,163.50
9837,163.50
9877,163.50
7721,163.00
9820,163.00
10924,162.50
10929,162.50
265,162.00
7734,162.00
7735,162.00
7739,162.00
7749,162.00
5308,161.50
7741,161.50
7766,161.50
10896,161.50
272,161.00
7748,161.00
7773,161.00
9860,161.00
5262,160.50
7772,160.50
30632,160.50
30592,160.00
30618,160.00
10874,160.00
5314,159.50
7753,159.50
7769,159.50
9838,159.50
10903,159.50
30596,159.00
30604,159.00
5321,158.00
30581,157.50
30628,157.50
7762,157.00
10875,157.00
10912,156.50
30631,156.50
10931,156.00
9844,155.50
30586,155.50
247,154.50
5310,154.50
5331,154.50
9836,153.50
9862,153.50
302,153.00
7720,153.00
30624,153.00
30633,152.50
9825,152.50
7771,152.00
10933,151.50
5319,150.50
10886,150.50
9907,148.50
9926,148.50
10885,148.50
5284,147.50
14559,147.50
295,146.50
14590,146.00
3486,145.50
7744,145.50
30590,145.50
3496,145.00
3502,144.50
30576,144.00
3474,143.50
3476,143.50
5268,143.50
5272,143.00
14566,143.00
14570,143.00
5250,142.50
5293,142.00
30614,142.00
5299,141.50
3487,141.00
9901,141.00
14589,141.00
5270,140.50
5301,140.50
7775,140.50
5279,140.00
5283,140.00
9889,140.00
5275,139.50
9908,139.50
14552,139.50
14556,139.50
30615,139.50
3506,139.00
3517,139.00
3522,139.00
5273,139.00
5288,139.00
9888,139.00
5244,138.50
9909,138.50
9932,138.50
3510,138.00
14591,137.50
258,137.00
3477,137.00
3504,137.00
5267,137.00
3479,136.50
9882,136.50
14541,136.50
5316,136.00
14547,136.00
3508,135.00
9927,134.50
14587,134.50
30619,134.50
3500,134.00
9925,134.00
14535,134.00
3492,133.50
5242,133.50
7732,133.50
279,133.00
3463,133.00
3468,133.00
9890,133.00
3499,132.50
9917,132.50
9939,132.50
14550,132.50
3497,132.00
5290,132.00
9903,132.00
14583,132.00
9933,131.50
3466,131.00
5252,130.50
5300,130.50
7726,129.00
14537,129.00
3480,128.50
3485,128.50
5359,128.50
30598,128.00
3495,127.50
14581,127.50
3475,127.00
3490,127.00
3518,126.50
9915,126.50
